buongiorno ;Good morning
buonanotte ;Good night
buonasera ;Good evening
salve ;Hello
ciao ;hello, goodbye
a domani ;(See you) tomorrow
a presto, ci vediamo a presto ;See you soon (2)
abbastanza bene ;Quite well
arrivederLa ;Goodbye (formal)
arrivederci ;Goodbye (informal)
Lei, come si chiama? ;You, what is your name? (formal)
come sta? ;How are you? (formal)
Come stai? Bene, grazie ;How are you? Fine, thank you (informal)
come va oggi? ;How is it going today?
dottore / dottoressa ;doctor (m)/ (f)
mi chiamo... / sono... ;My name is... (2 ways)
molto piacere ;very pleased (to meet you)
non c'è male ;not bad
piacere ;pleased (to meet you)
buon viaggio ;Have a nice trip!
piacere di conoscerla ;pleased to meet you (formal)
piacere di conoscerti ;Pleased to meet you (informal)
pronto ;ready, hello (on the phone)
prego ;you're welcome, come in
signora ;Ms., Mrs., madam
signor ;Mr.
signore ;sir, gentleman
signorina ;Miss
Sto molto bene ;I am very well
Sto abbastanza bene ;I am quite well
Ci vediamo ;See you (informal)
Così così ;So so
Ora devo andare ;Now I must go
molto bene, grazie, e Lei? ;Very well, thank you, and you (formal)
La signora Verdi ed Emilia ;Mrs. Verdi and Emilia
a piu tardi ;(see you) later
grazie ;thank you
mi dispiace ;I'm sorry
mi scusi ;excuse me (formal)
scusa ;I'm sorry
per favore, per piacere ;please (2)
andiamo! ;Let's go!
Ci vediamo dopo ;See you later
Salute! ;Cheers!
grazie mille ;Thank you very much
mi scusi, posso farle una domanda? ;Excuse me. Can I ask you something?
Mi scusi, posso chiederle un'informazione ;Excuse me, can I ask you for some information
buon appetito ;enjoy your meal
ti auguro buon Natale ;I wish you a Merry Christmas!
Buon Natale e Felice Anno Nuovo ;Merry Christmas and Happy New Year
Auguri! ;congratulations, best wishes
tanti auguri ;happy birthday, best wishes
buon compleanno ;Happy birthday!
