preferisco;I prefer
vendo;I sell
parliamo;we speak
parlate;you (p) speak
parlano;they speak
dormite;you (p) sleep
finiscono;they finish
preferisci;you (s) prefer
dorme;she sleeps
cerco;I look for
paghi;you (s) pay
comincio;I start
mangi;you (s) eat
capiscono;they understand
guardano;they watch
spero;I hope
penso;I think
sembra;it seems
scriviamo;we write
gioca;she plays (a game)
giochi;you (s) play (a game)
chiedo;I ask for
finisco;I finish
dimentichi;you (s) forget
canto;I sing
guida;he drives
insegna;she teaches
studiamo;we study
comprate;you (p) buy
iniziamo;we start (let's begin)
conosciamo;we know (someone)
chiudono;they close
corro;I run
decidi;you (s) decide
dipingiamo;we paint
dipingo;I paint
discutono;They discuss
nasconde;He hides
ricevo;I receive
ridono;they laugh
rispondi;you (s) respond
temete;you (p) fear
chiudete;you (p) close
crede;he believes
leggono;they read
vince;she wins
vinco;I win
perde;he loses
prende;he takes
aprono;they open
aprite;you (p) open
chiude;he/she closes
offro;I offer
sento;I hear
seguo;I follow
segui;you (s) follow
preferite;you (pl) prefer
pulisce;(he/she) cleans
leggi;you (s) read
pulisco;I clean
finisce;it finishes
seguono;they follow
ricevete;you (p) receive
rispondo;I answer
diventa;it becomes
cambiamo;we change
piove;it is raining
spieghiamo;we explain
proviamo insieme;Let's try together
si accomodi;Make yourself comfortable, Sit down
mi alzo alle sette;I get up at seven
Non vi preoccupate;don't worry (you, p)
ci prepariamo;We're getting ready
studia;he studies
accettate;you (p) accept
accetto;I accept
lei si accomoda;she sits down
acquista;he buys
si alzano;they get up
aspetti;you (s) wait
attraversa;she crosses
ha 30 anni;he is 30 years old
ho caldo;I am hot
Ci sentiamo domani;see you tomorrow (not vedere)
Voi non vi vedete da molto, vero?;You haven't seen each other for quite a while, right?
Loro si parlano spesso;They speak to each other often
loro si svegliano;they are getting up
noi ci riposiamo;we rest
io mi preparo;I am getting ready
abito;I live
si addormenta;he falls asleep
programmo;I plan
restituisco;I give back
che cosa mi consigli?;What do you (s) recommend?
scio;I ski
sciano;they ski
Come ti senti?;How do you feel?
sognate;you (p) dream
manda;He sends
prova questo gelato;try this ice cream
